q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accZ,0
0.2875,-0.5947,0.4165,-0.6245,21.7857,-116.83138,123.937546,209.79929,0.5361,-0.1162,1
0.2985,-0.5957,0.4146,-0.6196,20.987877,-116.640686,125.17052,206.73715,0.5317,-0.1625,1
0.3105,-0.5969,0.4127,-0.6139,20.194809,-116.30787,126.550385,203.60063,0.539,-0.2246,1
0.3234,-0.5978,0.4107,-0.6076,14.027231,-115.83491,128.13055,200.3395,0.5649,-0.2084,1
0.3923,-0.5687,0.4143,-0.5923,12.451046,-110.408195,141.89395,181.14507,0.5195,0.0517,1
0.3998,-0.5574,0.4201,-0.5939,10.682733,-109.09348,144.70026,178.88333,0.4946,0.0585,1
0.4062,-0.545,0.428,-0.5955,8.830497,-107.6431,147.65477,177.15964,0.4663,0.0561,1
0.4115,-0.532,0.437,-0.597,6.9531865,-106.155266,150.63,175.80957,0.4316,0.0327,1
0.4158,-0.5189,0.4468,-0.5984,5.1595273,-104.673416,153.56075,174.78337,0.3896,0.02,1
0.4192,-0.5062,0.4566,-0.5995,3.5126047,-103.25828,156.34543,173.98698,0.3222,0.0068,1
0.4217,-0.4944,0.4663,-0.6001,2.1335585,-101.93228,158.92847,173.4773,0.2719,-0.0019,1
0.4238,-0.4838,0.4755,-0.6001,1.3870045,-100.6956,161.31154,173.15157,0.229,0.0043,1
0.4256,-0.474,0.4841,-0.5996,7.2417316,-99.530594,163.54439,172.91373,0.1875,0.0175,1
0.4362,-0.4259,0.5229,-0.5957,8.575113,-93.819214,174.61844,170.84096,-0.0673,-0.0454,1
0.4391,-0.417,0.5302,-0.5934,9.7841835,-92.60905,176.92279,170.47868,-0.0917,-0.059,1
0.442,-0.409,0.5366,-0.5909,10.818557,-91.48688,179.05284,170.13535,-0.1245,-0.0761,1
0.4453,-0.4023,0.5418,-0.5883,11.608038,-90.47159,180.96625,169.77496,-0.1455,-0.0659,1
0.449,-0.3975,0.5455,-0.5853,12.210807,-89.59577,182.58392,169.47813,-0.1347,-0.0571,1
0.4532,-0.3942,0.5479,-0.5821,12.706851,-88.83093,183.96625,169.19243,-0.0937,-0.0346,1
0.4577,-0.3919,0.5495,-0.5786,13.15735,-88.12867,185.20793,168.94891,-0.0507,-0.0175,1
0.4622,-0.3899,0.5505,-0.5754,14.0725155,-87.49124,186.32416,168.65742,-0.0131,-0.0258,1
0.4709,-0.3864,0.5526,-0.5686,14.464567,-86.23417,188.50165,168.25223,0.02,-0.0083,1
0.4739,-0.3849,0.5538,-0.5659,14.734646,-85.73861,189.3662,168.1743,0.0131,-0.0234,1
0.4763,-0.3838,0.5543,-0.5643,14.788628,-85.4032,189.94316,168.02155,0.0019,-0.0327,1
0.4782,-0.3839,0.5534,-0.5634,12.633581,-85.28012,190.11859,167.84227,-0.0307,-0.0366,1
0.4791,-0.4005,0.5388,-0.5653,12.483834,-87.04535,186.61569,167.91101,0.2924,0.1669,1
