q0,q1,q2,q3,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.093,-0.0422,-0.5845,0.8048,0.2353,-1.0678,0.4282,-0.719,0.169,-1.304,-31.337,-30.137,12.463,49
0.6529,-0.5393,0.304,-0.4362,0.0595,-0.9804,0.2558,0.058,0.016,-0.049,20.549,-3.737,17.699,21
0.444,-0.3771,0.3983,-0.7083,-0.0336,-0.748,0.1655,0.152,-0.243,0.445,-32.537,-22.037,-21.587,43
0.7544,-0.605,-0.1242,0.2219,-0.0043,-0.9184,0.2314,-0.023,0.613,-0.23,-21.116,0.934,-10.451,15
0.6259,-0.6948,0.2514,-0.2492,0.1674,-0.9082,-0.0034,0.06,-0.925,-0.09,-31.989,-16.919,-2.785,20
0.667,-0.5408,0.2385,-0.4533,0.2075,-0.9389,0.4248,-0.226,0.059,0.221,16.499,-15.137,32.549,39
0.3817,-0.3143,-0.6355,0.5929,-0.0917,-1.1005,0.0312,0.188,-0.603,-1.326,-11.559,-28.287,-4.997,12
0.2558,-0.3132,-0.6282,0.6645,0.0791,-0.851,-0.0556,0.389,-0.508,1.642,17.99,-15.537,31.589,12
0.5009,-0.4106,0.4695,-0.5999,-0.0991,-1.3291,0.1489,0.646,-1.504,1.726,-31.65,-32.687,18.749,47
0.8027,-0.5835,0.1219,-0.0151,0.0048,-1.0361,0.1767,0.348,-0.365,1.524,-19.5,-4.187,-32.237,50
0.3732,-0.3588,-0.4789,0.7088,-0.0737,-0.7294,0.0927,0.699,-0.597,0.7,4.87,28.173,-10.949,22
0.7275,-0.5287,0.3408,-0.2737,-0.0366,-1.1362,0.225,-0.107,1.005,-0.692,10.049,-20.687,19.049,3
0.0046,-0.2847,-0.6253,0.7265,-0.3139,-0.6162,-0.122,1.705,0.684,-0.125,-21.137,-1.487,-29.237,29
0.4001,-0.3908,0.3997,-0.7261,0.5957,-0.9042,0.4916,-0.127,0.234,-0.135,22.499,28.349,11.263,43
