q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accZ,0
0.7498,-0.6582,-0.0591,0.0307,5.92043,-82.38979,175.09767,176.7839,-0.0927,0.0278,51
0.7502,-0.6576,-0.0591,0.0326,5.6838446,-82.325035,175.34886,177.08519,-0.0732,0.0493,51
0.7507,-0.657,-0.0591,0.0346,5.4234037,-82.25324,175.61241,177.40274,-0.0483,0.0512,51
0.7511,-0.6564,-0.0591,0.0369,5.163698,-82.19095,175.91486,177.764,-0.0522,0.0576,51
0.7514,-0.6559,-0.0591,0.0393,4.900444,-82.14498,176.23035,178.13762,-0.0561,0.0537,51
0.7517,-0.6554,-0.0592,0.0418,4.6402864,-82.09836,176.5429,178.51294,-0.0576,0.0493,51
0.7521,-0.6547,-0.0597,0.0443,4.181593,-82.023506,176.79149,178.83894,-0.0561,0.061,51
0.7528,-0.6534,-0.0613,0.0492,3.9827633,-81.884384,177.18185,179.39424,-0.0419,0.062,51
0.7531,-0.6527,-0.0625,0.0517,3.8108075,-81.81195,177.32103,179.62708,-0.0141,0.0688,51
0.7535,-0.652,-0.0638,0.0541,3.661863,-81.73081,177.43024,179.83302,-0.0004,0.0703,51
0.7539,-0.6512,-0.0651,0.0564,3.5440314,-81.64052,177.52403,180.02539,0.0141,0.0747,51
0.7545,-0.6502,-0.0666,0.0585,3.4455123,-81.51546,177.55664,180.16676,0.0214,0.0747,51
0.7553,-0.649,-0.068,0.0603,3.3709145,-81.35677,177.56015,180.28146,0.0195,0.0688,51
0.7561,-0.6477,-0.0693,0.0619,3.3203564,-81.188705,177.5503,180.38104,0.0209,0.08,51
0.7569,-0.6465,-0.0705,0.0634,3.2820017,-81.02928,177.54268,180.47775,0.0102,0.0805,51
0.7577,-0.6453,-0.0715,0.0647,3.2593658,-80.86967,177.53838,180.5706,0.0126,0.0747,51
0.7585,-0.6442,-0.0724,0.0659,3.2479954,-80.71868,177.5367,180.66025,-0.0029,0.0678,51
0.7592,-0.6432,-0.0732,0.0671,3.2295275,-80.584465,177.55132,180.76035,-0.0073,0.0595,51
