q0,q1,q2,q3,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.3868,-0.4067,0.5573,-0.6117,0.0668,-1.0605,0.1567,-0.242,0.237,-0.952,-15.6,-17.237,-19.337,1
0.3831,-0.4095,0.5558,-0.6136,0.0209,-1.0078,0.101,-0.152,0.118,-1.084,-15.6,-17.237,-19.337,1
0.3801,-0.4136,0.553,-0.6152,-0.0009,-0.9453,0.0634,-0.054,-0.258,-1.255,-15.6,-17.237,-19.337,1
0.3726,-0.4322,0.5382,-0.6201,0.2456,-0.7485,0.1376,0.157,-0.733,-1.704,-15.6,-17.237,-19.337,1
0.3563,-0.4461,0.5269,-0.6295,0.3232,-0.6445,0.1347,-0.134,0.295,-1.788,-15.6,-17.237,-19.337,1
0.3499,-0.45,0.5242,-0.6326,0.2968,-0.644,0.1098,-0.185,0.281,-1.744,-15.6,-17.237,-19.337,1
0.3442,-0.4541,0.5212,-0.6352,0.2773,-0.6542,0.1083,-0.166,0.101,-1.661,-15.6,-17.237,-19.337,1
0.336,-0.4627,0.5141,-0.6391,0.2495,-0.7148,0.0683,0.057,-0.266,-1.397,-15.6,-17.237,-19.337,1
0.2996,-0.4814,0.4696,-0.6766,0.3305,-1.2011,0.2416,-0.078,1.206,-1.005,-28.5,-17.987,-13.487,1
0.2842,-0.476,0.4717,-0.6855,0.2133,-1.25,0.1518,-0.409,1.708,-0.982,-28.5,-17.987,-13.487,1
0.2686,-0.472,0.4753,-0.6921,0.0927,-1.2563,0.0429,-0.616,1.339,-0.913,-28.5,-17.987,-13.487,1
0.2492,-0.4712,0.4799,-0.6967,0.083,-1.1528,0.0795,-0.726,0.802,-0.793,-28.5,-17.987,-13.487,1
0.2429,-0.4709,0.4818,-0.6978,0.0952,-1.1313,0.1181,-0.757,0.867,-0.735,-28.5,-17.987,-13.487,1
0.2237,-0.473,0.4905,-0.6968,-0.0322,-1.4389,-0.0805,-0.85,-0.324,-0.306,-28.5,-17.987,-13.487,1
0.2333,-0.4918,0.4871,-0.6829,0.2812,-1.123,-0.103,0.044,-2.208,-0.002,-28.5,-17.987,-13.487,1
0.2396,-0.4995,0.4836,-0.6775,0.352,-0.9785,-0.1069,0.257,-2.41,-0.042,-28.2,-14.387,-12.137,1
0.2602,-0.5245,0.4713,-0.6595,0.4584,-0.8247,-0.082,0.324,-2.787,0.075,-28.2,-14.387,-12.137,1
0.2779,-0.5398,0.462,-0.6463,0.5483,-0.9199,0.0122,0.643,-2.852,0.443,-28.2,-14.387,-12.137,1
0.309,-0.5526,0.4491,-0.6303,0.602,-0.8857,0.0195,1.07,-2.172,1.003,-28.2,-14.387,-12.137,1
0.3194,-0.5547,0.4456,-0.6257,0.602,-0.8476,-0.017,1.084,-1.999,1.123,-28.2,-14.387,-12.137,1
0.3399,-0.557,0.44,-0.6168,0.5581,-0.8222,-0.0712,1.075,-1.734,1.339,-28.2,-14.387,-12.137,1
0.3501,-0.5571,0.438,-0.6124,0.5341,-0.8188,-0.0537,1.051,-1.573,1.441,-28.2,-14.387,-12.137,1
0.3873,-0.5323,0.4461,-0.6061,0.3642,-0.7539,0.0405,0.766,1.069,1.784,-28.2,-14.387,-12.137,1
0.4393,-0.4331,0.5176,-0.5927,0.2231,-1.1191,-0.102,-0.495,0.354,1.415,-10.8,-10.037,-23.687,1
0.4442,-0.4254,0.5255,-0.5877,0.1845,-1.1918,-0.1162,-0.049,0.334,1.229,-10.8,-10.037,-23.687,1
0.4465,-0.4214,0.5278,-0.5867,0.1298,-1.1733,-0.0913,0.181,0.368,0.993,-10.8,-10.037,-23.687,1
0.451,-0.4107,0.5309,-0.5881,0.0966,-1.1567,-0.0336,0.221,0.252,0.158,14.999,-11.687,-32.237,1
0.4506,-0.4089,0.5323,-0.5884,0.2583,-1.2587,0.1538,-0.25,0.119,0.132,14.999,-11.687,-32.237,1
0.4485,-0.4082,0.5345,-0.5885,0.2993,-1.2739,0.2236,-0.366,0.528,-0.004,14.999,-11.687,-32.237,1
0.4437,-0.4065,0.5375,-0.5905,0.29,-1.2041,0.2954,-0.389,1.202,-0.317,14.999,-11.687,-32.237,1
0.3865,-0.4342,0.5487,-0.6007,0.187,-0.892,0.1381,0.378,-0.509,-1.127,14.249,-16.337,-25.637,1
0.3837,-0.4367,0.545,-0.6041,0.2407,-0.7812,0.0996,0.405,0.013,-1.246,14.249,-16.337,-25.637,1
0.3788,-0.4383,0.5422,-0.6085,0.2607,-0.6899,0.0561,0.274,0.524,-1.389,14.249,-16.337,-25.637,1
0.3249,-0.5044,0.4685,-0.6483,0.416,-0.9096,0.0791,0.291,-0.466,-1.544,14.249,-16.337,-25.637,1
0.3079,-0.5106,0.456,-0.6605,0.4316,-1.0375,0.1962,0.087,0.895,-1.703,14.249,-16.337,-25.637,1
0.2795,-0.5067,0.4549,-0.6768,0.2885,-1.2519,0.1694,-0.53,1.929,-1.456,2.249,-19.637,-23.687,1
0.2334,-0.5607,0.443,-0.6593,0.6962,-0.9023,-0.0351,0.351,-2.892,-0.009,2.249,-19.637,-23.687,1
0.2524,-0.5819,0.4287,-0.6432,0.6298,-0.7597,-0.0268,0.634,-2.25,0.054,-3.75,-26.087,-18.137,1
