q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.7631,-0.6438,-0.0539,0.0108,7.5859017,-80.0345,173.28336,174.8226,-0.0112,-1.0849,0.3276,-0.357,-0.29,-0.125,19.199,0.463,-1.35,51
0.7589,-0.6485,-0.0565,0.0114,7.664724,-80.72483,172.95012,174.46613,0.0161,-1.1899,0.269,-0.457,-0.107,-0.015,19.199,0.463,-1.35,51
0.7574,-0.6503,-0.0566,0.0115,7.7109213,-80.99089,172.94109,174.42303,0.0146,-1.2231,0.2333,-0.494,-0.039,0.035,19.199,0.463,-1.35,51
0.7558,-0.6522,-0.0564,0.0117,7.7537994,-81.277794,172.99004,174.43031,0.0141,-1.2387,0.2075,-0.507,-0.005,0.089,19.199,0.463,-1.35,51
0.7542,-0.6541,-0.056,0.012,7.768022,-81.56828,173.0829,174.47876,0.0029,-1.2539,0.1801,-0.493,-0.005,0.123,19.199,0.463,-1.35,51
0.75,-0.6588,-0.0557,0.0149,7.6194882,-82.31728,173.49893,174.8331,0.0395,-1.1767,0.1254,-0.372,-0.206,0.2,19.199,0.463,-1.35,51
0.7489,-0.6599,-0.0562,0.0164,7.53663,-82.502235,173.6215,174.96365,0.062,-1.1269,0.1289,-0.307,-0.29,0.185,19.199,0.463,-1.35,51
0.7477,-0.6611,-0.0583,0.0194,7.3488607,-82.6983,173.70445,175.10585,0.1196,-1.0219,0.1411,-0.111,-0.379,0.086,20.099,0.763,4.499,51
0.7477,-0.6608,-0.0608,0.0218,7.1280203,-82.66554,173.64653,175.14096,0.1367,-0.9565,0.1386,0.071,-0.33,0.042,20.099,0.763,4.499,51
0.748,-0.6603,-0.0616,0.0228,6.988461,-82.60047,173.6588,175.19778,0.1259,-0.9604,0.1313,0.124,-0.261,0.072,20.099,0.763,4.499,51
0.7484,-0.6598,-0.0617,0.0239,6.8452,-82.53772,173.79143,175.36472,0.0834,-0.9907,0.1225,0.131,-0.162,0.144,20.099,0.763,4.499,51
0.7487,-0.6595,-0.0612,0.025,6.6759133,-82.5067,174.01569,175.60693,0.0297,-1.0615,0.0971,0.11,-0.067,0.23,20.099,0.763,4.499,51
0.7488,-0.6594,-0.0602,0.0264,6.49289,-82.51599,174.35669,175.9552,-0.0302,-1.0893,0.0664,0.099,-0.038,0.301,20.099,0.763,4.499,51
0.7494,-0.6588,-0.059,0.0292,6.144492,-82.45881,174.9145,176.55634,-0.104,-1.0981,0.0312,0.132,-0.133,0.242,20.099,0.763,4.499,51
0.7507,-0.657,-0.0591,0.0346,5.4234037,-82.25324,175.61241,177.40274,-0.0483,-1.0712,0.0512,0.214,-0.287,0.27,20.099,0.763,4.499,51
0.7511,-0.6564,-0.0591,0.0369,5.163698,-82.19095,175.91486,177.764,-0.0522,-1.061,0.0576,0.195,-0.304,0.312,20.099,0.763,4.499,51
0.7514,-0.6559,-0.0591,0.0393,4.900444,-82.14498,176.23035,178.13762,-0.0561,-1.0581,0.0537,0.187,-0.32,0.327,20.099,0.763,4.499,51
0.7517,-0.6554,-0.0592,0.0418,4.6402864,-82.09836,176.5429,178.51294,-0.0576,-1.0395,0.0493,0.192,-0.361,0.31,20.099,0.763,4.499,51
0.7521,-0.6547,-0.0597,0.0443,4.181593,-82.023506,176.79149,178.83894,-0.0561,-1.0146,0.061,0.201,-0.409,0.275,20.099,0.763,4.499,51
0.7528,-0.6534,-0.0613,0.0492,3.9827633,-81.884384,177.18185,179.39424,-0.0419,-0.9726,0.062,0.197,-0.483,0.223,20.099,0.763,4.499,51
0.7535,-0.652,-0.0638,0.0541,3.661863,-81.73081,177.43024,179.83302,-0.0004,-0.9287,0.0703,0.196,-0.529,0.181,20.699,-2.237,3.299,51
0.7539,-0.6512,-0.0651,0.0564,3.5440314,-81.64052,177.52403,180.02539,0.0141,-0.9101,0.0747,0.216,-0.519,0.154,20.699,-2.237,3.299,51
0.7545,-0.6502,-0.0666,0.0585,3.4455123,-81.51546,177.55664,180.16676,0.0214,-0.8906,0.0747,0.258,-0.5,0.1,20.699,-2.237,3.299,51
